,Unnamed: 0,Unnamed: 0.1,tweet_id,timestamp,dog_name,doggo,floofer,pupper,puppo,api_favorite_count,api_lang,api_retweet_count,img_jpg_url,img_img_num,img_p1,img_p1_conf,img_p1_dog,img_p2,img_p2_conf,img_p2_dog,img_p3,img_p3_conf,img_p3_dog,rating,followers_count,statuses_count,friends_count,float_rating,just_date
733,844,1047,743510151680958465,2016-06-16 18:26:48,Beya,None,None,None,None,7753.0,en,3637.0,https://pbs.twimg.com/ext_tw_video_thumb/743509040018268160/pu/img/Ol2OgO5f8ciUp80r.jpg,1.0,sea_lion,0.8590459999999999,False,tub,0.0204054,False,hippopotamus,0.013094799999999998,False,13/10,8877196.0,13020.0,19.0,1.3,2016-06-16
734,846,1049,743222593470234624,2016-06-15 23:24:09,a,None,None,pupper,None,6062.0,en,1857.0,https://pbs.twimg.com/media/ClB09z0WYAAA1jz.jpg,1.0,kuvasz,0.350629,True,soft-coated_wheaten_terrier,0.182782,True,golden_retriever,0.08766239999999999,True,12/10,8877197.0,13020.0,19.0,1.2,2016-06-15
735,849,1053,742465774154047488,2016-06-13 21:16:49,None,None,None,pupper,None,7105.0,en,3816.0,https://pbs.twimg.com/media/Ck3EribXEAAPhZn.jpg,1.0,web_site,0.997154,False,comic_book,0.000439221,False,desktop_computer,0.000267579,False,14/10,8877197.0,13020.0,19.0,1.4,2016-06-13
736,850,1054,742423170473463808,2016-06-13 18:27:32,Bell,None,None,None,None,9602.0,en,3652.0,https://pbs.twimg.com/media/Ck2d7tJWUAEPTL3.jpg,1.0,pug,0.99731,True,Brabancon_griffon,0.00118563,True,French_bulldog,0.000427989,True,12/10,8877197.0,13020.0,19.0,1.2,2016-06-13
737,851,1055,742385895052087300,2016-06-13 15:59:24,Phil,None,None,None,None,6647.0,en,1913.0,https://pbs.twimg.com/media/Ck18CFcXIAAUWoy.jpg,1.0,Cardigan,0.5669109999999999,True,Border_collie,0.117566,True,Appenzeller,0.047664,True,11/10,8877197.0,13020.0,19.0,1.1,2016-06-13
738,852,1056,742161199639494656,2016-06-13 01:06:33,Doug,None,None,None,None,4216.0,en,1331.0,https://pbs.twimg.com/media/CkyvqnNWYAQxQY1.jpg,1.0,balloon,0.990736,False,punching_bag,0.00475356,False,parachute,0.000435974,False,12/10,8877197.0,13020.0,19.0,1.2,2016-06-13
739,855,1059,741743634094141440,2016-06-11 21:27:17,Aqua,None,None,pupper,None,7988.0,en,2669.0,https://pbs.twimg.com/media/Cksz42EW0AAh2NF.jpg,1.0,Labrador_retriever,0.786089,True,flat-coated_retriever,0.0486524,True,Chesapeake_Bay_retriever,0.0346933,True,11/10,8877197.0,13020.0,19.0,1.1,2016-06-11
740,857,1061,741303864243200000,2016-06-10 16:19:48,Theodore,None,None,None,None,8586.0,en,3116.0,https://pbs.twimg.com/media/Ckmj7mNWYAA4NzZ.jpg,1.0,Chihuahua,0.7681560000000001,True,pug,0.0149016,True,Pekinese,0.0128158,True,12/10,8877197.0,13020.0,19.0,1.2,2016-06-10
741,858,1063,741067306818797568,2016-06-10 00:39:48,just,doggo,None,pupper,None,9312.0,en,3006.0,https://pbs.twimg.com/media/CkjMx99UoAM2B1a.jpg,1.0,golden_retriever,0.843799,True,Labrador_retriever,0.0529559,True,kelpie,0.0357111,True,12/10,8877197.0,13020.0,19.0,1.2,2016-06-10
742,862,1067,740676976021798912,2016-06-08 22:48:46,Baloo,None,None,pupper,None,17746.0,en,6632.0,https://pbs.twimg.com/media/Ckdpx5KWsAANF6b.jpg,1.0,wombat,0.462952,False,Norwegian_elkhound,0.275225,True,Siamese_cat,0.0435593,False,11/10,8877197.0,13020.0,19.0,1.1,2016-06-08
743,867,1072,739979191639244800,2016-06-07 00:36:02,Nollie,None,None,None,None,19463.0,en,5745.0,https://pbs.twimg.com/media/CkTvJTdXAAAEfbT.jpg,1.0,Irish_water_spaniel,0.2858,True,wig,0.2406530000000001,False,toy_poodle,0.07491389999999999,True,12/10,8877197.0,13020.0,19.0,1.2,2016-06-07
744,869,1074,739844404073074688,2016-06-06 15:40:26,Simba,None,None,None,None,3713.0,en,835.0,https://pbs.twimg.com/media/CkR0jrhWYAALL5N.jpg,1.0,toy_poodle,0.342397,True,table_lamp,0.104451,False,miniature_poodle,0.079871,True,12/10,8877197.0,13020.0,19.0,1.2,2016-06-06
745,873,1079,739238157791694849,2016-06-04 23:31:25,None,doggo,None,None,None,113041.0,en,56310.0,https://pbs.twimg.com/ext_tw_video_thumb/739238016737267712/pu/img/-tLpyiuIzD5zR1et.jpg,1.0,Eskimo_dog,0.503372,True,Siberian_husky,0.390413,True,malamute,0.08090119999999999,True,13/10,8877197.0,13020.0,19.0,1.3,2016-06-04
746,874,1081,738885046782832640,2016-06-04 00:08:17,Charles,None,None,None,None,3677.0,en,1112.0,https://pbs.twimg.com/media/CkEMBz9WYAAGLaa.jpg,1.0,bath_towel,0.8783200000000001,False,swab,0.0206333,False,American_Staffordshire_terrier,0.0155351,True,11/10,8877197.0,13020.0,19.0,1.1,2016-06-04
747,876,1083,738537504001953792,2016-06-03 01:07:16,Bayley,None,None,None,puppo,4957.0,en,1486.0,https://pbs.twimg.com/media/Cj_P7rSUgAAYQbz.jpg,1.0,chow,0.808737,True,gibbon,0.028942400000000007,False,Pembroke,0.026497900000000005,True,11/10,8877197.0,13020.0,19.0,1.1,2016-06-03
748,879,1086,738166403467907072,2016-06-02 00:32:39,Axel,None,None,None,None,8547.0,en,3245.0,https://pbs.twimg.com/media/Cj5-aUQUgAAb43p.jpg,2.0,keeshond,0.8788860000000001,True,Norwegian_elkhound,0.0866594,True,malamute,0.0212803,True,12/10,8877197.0,13020.0,19.0,1.2,2016-06-02
749,883,1090,737678689543020544,2016-05-31 16:14:39,None,None,None,None,None,4911.0,en,1277.0,https://pbs.twimg.com/media/CjzC2oGWYAAyIfG.jpg,1.0,Pembroke,0.935307,True,Cardigan,0.0498742,True,Chihuahua,0.0116032,True,11/10,8877197.0,13020.0,19.0,1.1,2016-05-31
750,884,1091,737445876994609152,2016-05-31 00:49:32,None,None,floofer,None,None,9996.0,en,4316.0,https://pbs.twimg.com/media/CjvvHBwUoAE55WZ.jpg,1.0,Samoyed,0.400568,True,Pomeranian,0.331268,True,Maltese_dog,0.0454261,True,13/10,8877197.0,13020.0,19.0,1.3,2016-05-31
751,886,1093,737310737551491075,2016-05-30 15:52:33,None,None,None,None,None,14283.0,en,7194.0,https://pbs.twimg.com/ext_tw_video_thumb/737310236135043073/pu/img/_lG4DXmH-_XEq7Rc.jpg,1.0,cliff,0.4390770000000001,False,lakeside,0.0628992,False,valley,0.0397585,False,13/10,8877197.0,13020.0,19.0,1.3,2016-05-30
752,887,1094,736736130620620800,2016-05-29 01:49:16,Chadrick,None,None,None,None,4135.0,en,1676.0,https://pbs.twimg.com/media/CjlpmZaUgAED54W.jpg,1.0,schipperke,0.545502,True,groenendael,0.298622,True,Labrador_retriever,0.030986400000000008,True,13/10,8877197.0,13020.0,19.0,1.3,2016-05-29
753,888,1096,736365877722001409,2016-05-28 01:18:00,Rory,None,None,pupper,None,3872.0,en,1202.0,https://pbs.twimg.com/media/CjgYyuvWkAAHU8g.jpg,3.0,cup,0.473555,False,toy_poodle,0.082606,True,consomme,0.048298,False,11/10,8877197.0,13020.0,19.0,1.1,2016-05-28
